lambda,kappa
2.000000000000000174e-07,8.507432905921159545e+02
2.200000000000000112e-07,1.035583178356053622e+03
2.400000000000000315e-07,1.027300797723862388e+03
2.599999999999999988e-07,1.010142868615795123e+03
2.800000000000000191e-07,1.039867168338221745e+03
3.000000000000000394e-07,2.802300647002095957e+02
3.200000000000000067e-07,6.361725123519331504e+01
3.400000000000000270e-07,1.441436629294140381e+01
3.600000000000000472e-07,5.235987755982987935e+00
3.800000000000000146e-07,3.637633598893444731e+00
4.000000000000000348e-07,2.199114857512855181e+00
4.200000000000000022e-07,2.094395102393195707e+00
4.400000000000000224e-07,1.999195325011686508e+00
4.600000000000000427e-07,1.912273789141613278e+00
4.800000000000000630e-07,2.094395102393195263e+00
5.000000000000000833e-07,2.010619298297467328e+00
5.199999999999999976e-07,1.691626813471427182e+00
5.400000000000000179e-07,1.861684535460617962e+00
5.600000000000000382e-07,1.795195802051310130e+00
5.800000000000000585e-07,1.733292498532299497e+00
6.000000000000000787e-07,1.675516081914556032e+00
6.199999999999999931e-07,1.621467176046344827e+00
6.400000000000000134e-07,1.767145867644258628e+00
6.600000000000000337e-07,2.094395102393195263e+00
6.800000000000000539e-07,1.847995678582231127e+00
7.000000000000000742e-07,1.974715382256441165e+00
7.200000000000000945e-07,2.094395102393195263e+00
7.400000000000000089e-07,2.037789829355541649e+00
7.600000000000000291e-07,1.984163781214606237e+00
7.800000000000000494e-07,2.094395102393195263e+00
8.000000000000000697e-07,2.042035224833365081e+00
8.400000000000000043e-07,1.196797201367540309e+00
8.800000000000000449e-07,7.139983303613166576e-01
9.200000000000000854e-07,1.365909849386866437e+00
9.600000000000001260e-07,1.439896632895321771e+00
1.000000000000000167e-06,1.130973355292325344e+00
1.039999999999999995e-06,7.249829200591830780e-01
1.080000000000000036e-06,6.981317007977317912e-01
1.120000000000000076e-06,6.731984257692413820e-01
1.160000000000000117e-06,4.333231246330748743e-01
1.200000000000000157e-06,4.188790204786390081e-01
1.239999999999999986e-06,4.053667940115862067e-01
1.280000000000000027e-06,3.926990816987241395e-01
1.320000000000000067e-06,5.711986642890533039e-01
1.360000000000000108e-06,1.108797407149338721e+00
1.400000000000000148e-06,7.180783208205240298e-01
1.440000000000000189e-06,6.981317007977316802e-01
1.480000000000000018e-06,5.943553668953662772e-01
1.520000000000000058e-06,5.787144361875934395e-01
1.560000000000000099e-06,4.027682889217683582e-01
1.600000000000000139e-06,3.926990816987241395e-01
1.640000000000000180e-06,6.129936885053254292e-01
1.680000000000000009e-06,8.975979010256551760e-01
1.720000000000000049e-06,1.095904414042951247e+00
1.760000000000000090e-06,1.285196994650369851e+00
1.800000000000000130e-06,4.886921905584122872e-01
1.840000000000000171e-06,1.843978296672269757e+00
1.880000000000000211e-06,1.403690334582673671e+00
1.920000000000000252e-06,2.487094184091919402e+00
1.960000000000000292e-06,1.987538209413950652e+00
2.000000000000000333e-06,2.764601535159017409e+00
2.039999999999999950e-06,2.710393661920606156e+00
2.079999999999999991e-06,2.779101193560201910e+00
2.120000000000000031e-06,3.082317320503193070e+00
2.160000000000000072e-06,4.596033696918401468e+00
2.200000000000000112e-06,5.312147577888195471e+00
2.240000000000000153e-06,6.227085438365483228e+00
2.280000000000000193e-06,5.621797380108050746e+00
2.320000000000000234e-06,5.741531401388241918e+00
2.360000000000000274e-06,5.910453975397746973e+00
2.400000000000000315e-06,6.754424205218054311e+00
2.440000000000000355e-06,7.931233912341443926e+00
2.479999999999999972e-06,8.715386071249103139e+00
2.520000000000000013e-06,9.574377610940322469e+00
2.560000000000000054e-06,1.011200135374214604e+01
2.600000000000000094e-06,1.251803841968856190e+01
2.640000000000000135e-06,1.337556872210200076e+01
2.680000000000000175e-06,1.481706385872201004e+01
2.689702715227994223e-06,1.562546678356435415e+01
2.690896937840011621e-06,1.617841606125448095e+01
2.692086423512036931e-06,1.688095452714368960e+01
2.693517081477275690e-06,1.771633973980771160e+01
2.694941271839804072e-06,1.877357577833642210e+01
